,Username,TH link,Gene,Past Forms,Level,Regressions - XP,Damage (health/10),Tools x use,Myo?
501,liabunnart,501 on Toyhouse,Elementary,,1,0/5,10/10,,yes
502,Eepiiin,502 on Toyhouse,Elementary,,1,0/5,10/10,,no
503,Mewdyne.draws,503 on Toyhouse,Elementary,,1,0/5,10/10,,yes
504,furrealneeds,504 on Toyhouse,Elementary,,1,0/5,10/10,,yes
505,sam.milkers,505 on Toyhouse,Elementary,,2,1/5,10/10,,no
506,_0_strawberrymilk_0_,596 on Toyhouse,Elementary,,1,0/5,10/10,,no
507,_0_strawberrymilk_0_,507 on Toyhouse,Elementary,,1,0/5,10/10,,no
508,NeighborlyNarwhal,508 on Toyhouse,Elementary,,3,1/6,10/10,,no
509,s3w3rr0ach,509 on Toyhouse,Elementary,,1,0/5,10/10,,no
510,s3w3rr0ach,510 on Toyhouse,Elementary,,1,0/5,10/10,,no
511,s3w3rr0ach,511 on Toyhouse,Elementary,,1,0/5,10/10,,no
512,echoraptorz,512 on Toyhouse,Elementary,,1,0/5,10/10,,yes
513,N/A,513 on Toyhouse,Elementary,,1,0/5,10/10,,no
514,ghoulish_guy,514 on Toyhouse,Elementary,,1,0/5,10/10,,no
515,yuckbubbles,515 on Toyhouse,Elementary,,1,0/5,10/10,,no
516,catatear,516 on Toyhouse,Elementary,,1,0/5,10/10,,no
517,Diino.Miilk,517 on Toyhouse,Elementary,,1,0/5,10/10,,no
518,Diino.Miilk,518 on Toyhouse,Elementary,,1,0/5,10/10,,no
519,Diino.Miilk,519 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
520,_crims0n.mamaart_,520 on Toyhouse,Abyssius,N/A,6,8/12,7/10,,No
521,Korkikorel,521 on Toyhouse,Elementary,,1,0/5,10/10,,No
522,Apohye,522 on Toyhouse,Elementary,,1,0/5,10/10,,no
523,Zesmolnuggeto,523 on Toyhouse,Elementary,,1,0/5,10/10,,No
524,TheRisingRiver,524 on Toyhouse,Elementary,,1,0/5,10/10,,no
525,Apohye,525 on Toyhouse,Elementary,,1,0/5,10/10,,no
526,willem_dafoe_official,526 on Toyhouse,Abyssius,N/A,14,20/30,0/10,Hoe x3,no
527,anni3bytez,527 on Toyhouse,Elementary,,1,0/5,10/10,,no
528,n/a,528 on Toyhouse,Elementary,,1,0/5,10/10,,no
529,simon_the_katt,529 on Toyhouse,Elementary,,8,13/18,0/10,,no
530,unnatural_oatmeal,530 on Toyhouse,Elementary,,1,2/5,10/10,,no
531,korkikorel,531 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no 
532,Honeybee_fanfare,532 on Toyhouse,Elementary,,1,0/5,10/10,,no
533,diino.miilk,533 on Toyhouse,Elementary,,1,0/5,10/10,,no
534,bone_guts,534 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,Yes
535,_d3f4ult_art_,535 on Toyhouse,Elementary,,10,16/26,10/10,Lesser Pickaxe x2,no
536,n/a,536 on Toyhouse,Elementary,,1,0/5,10/10,,no
537,n/a,537 on Toyhouse,Elementary,,1,0/5,10/10,,no
538,_pumpkin_patxh_,538 on Toyhouse,Elementary,,2,0/5,10/10,,no
539,_d3f4ult_art_,539 on Toyhouse,Elementary,,1,0/5,10/10,,no
540,s3w3rr0ach,540 on Toyhouse,Elementary,,1,0/5,10/10,,no
541,screwbean.adopts,541 on Toyhouse,Elementary,,1,0/5,10/10,,no
542,king_scintilla,542 on Toyhouse,Elementary,,1,0/5,10/10,,no
543,diino.miilk,543 on Toyhouse,Elementary,,1,0/5,10/10,,no
544,dracowolf_x,544 on Toyhouse,Elementary,,2,3/5,10/10,,no
545,sanctuaryofsacrifice,545 on Toyhouse,Elementary,,1,0/5,10/10,,no
546,de.vina_twiii,546 on Toyhouse,Elementary,,8,5/18,0/10,,no
547,kats.cafe,547 on Toyhouse,Elementary,,1,0/5,10/10,,yes
548,kats.cafe,548 on Toyhouse,Elementary,,1,0/5,10/10,,yes
549,kats.cafe,549 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
550,diino.miilk ,550 on Toyhouse,Elementary,,1,1/5,10/10,,no
551,diino.miilk,551 on Toyhouse,Elementary,,1,0/5,10/10,,no
552,bunnyboiaries,552 on Toyhouse,Elementary,,6,5/12,10/10,,no
553,floof._.adopts,553 on Toyhouse,Elementary,,8,0/18,2/10,,no
554,diino.miilk,554 on Toyhouse,Water-Water,Elementary,7,0/14,7/10,,no
555,diino.miilk,555 on Toyhouse,Elementary,,2,0/5,10/10,,no
556,fish_bit3,556 on Toyhouse,Abyssius,N/A,6,8/12,9/10,,No
557,_nan_mais_mdr_,557 on Toyhouse,Elementary,,3,2/6,7/10,,No
558,phantillyc,558 on Toyhouse,Elementary,,1,0/5,10/10,,no
559,yuckbubbles,559 on Toyhouse,Elementary,,1,0/5,10/10,,no
560,N/A,560 on Toyhouse,Elementary,,1,0/5,10/10,,no
561,Crash_pilot,561 on Toyhouse,Elementary,,1,0/5,10/10,,no
562,beetle.dood,562 on Toyhouse,Elementary,,1,0/5,10/10,,no
563,crash_pilot,563 on Toyhouse,Elementary,,1,0/5,10/10,,no
564,my.bixie,564 on Toyhouse,Elementary,,1,0/5,10/10,,no
565,_infamous_comedown_ok,565 on Toyhouse,Elementary,,1,0/5,10/10,,no
566,vinny._.kitty,566 on Toyhouse,Elementary,,1,0/5,10/10,,no
567,unnatural_oatmeal,567 on Toyhouse,Elementary,,9,5/22,8/10,Greater pickaxe 10,no
568,N/A,568 on Toyhouse,Elementary,,1,0/5,10/10,,no
569,the_kid_in_the_corner15,569 on Toyhouse,Elementary,,7,5/15,6/10,Fishing Pole x1,no
570,the_kid_in_the_corner15,570 on Toyhouse,Elementary,,6,11/12,10/10,,no
571,_0_strawberrymilk_0_,571 on Toyhouse,Elementary,,1,0/5,10/10,,no
572,_0_strawberrymilk_0_,572 on Toyhouse,Elementary,,1,0/5,10/10,,no
573,_0_strawberrymilk_0_,573 on Toyhouse,Elementary,,1,0/5,10/10,,no
574,kuroki_09,574 on Toyhouse,Elementary,,1,0/5,10/10,,yes
575,kuroki_09,575 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,yes
576,kuroki_09,576 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,yes
577,kuroki_09,577 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
578,kuroki_09,578 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
579,kuroki_09,579 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
580,n/a,580 on Toyhouse,Elementary,,1,0/5,10/10,,no
581,_0_strawberrymilk_0_,581 on Toyhouse,Elementary,,1,0/5,10/10,,no
582,n/a,582 on Toyhouse,Elementary,,1,0/5,10/10,,no
583,Vinny._.kitty ,583 on Toyhouse,Elementary,,1,0/5,10/10,,no
584,deliriouskuria ,584 on Toyhouse,Elementary,,1,0/5,10/10,,no
585,mixies_sketchbook,585 on Toyhouse,Elementary,,8,3/18,10/10,,no
586,_.phoenixartz._,586 on Toyhouse,Elementary,,3,0/6,10/10,,no
587,n/a,587 on Toyhouse,Elementary,,1,0/5,10/10,,no
588,bone_guts,588 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
589,crash_pilot,589 on Toyhouse,Abyssius,N/A,4,6/8,10/10,Greater Pickaxe x15,no
590,smolowls,590 on Toyhouse,Elementary,,1,0/5,10/10,,yes
591,_0_strawberrymilk_0_,591 on Toyhouse,Elementary,,1,2/5,10/10,,no
592,_0_strawberrymilk_0_,592 on Toyhouse,Elementary,,1,0/5,10/10,,no
593,_0_strawberrymilk_0_,593 on Toyhouse,Elementary,,1,0/5,10/10,,no
594,n/a ,594 on Toyhouse,Elementary,,1,0/5,10/10,,no
595,bro___boi,595 on Toyhouse,Elementary,,9,7/22,10/10,,no
596,_.phoenixartz._,596 on Toyhouse,Air-Cosmic,Elementary,5,1/10,10/10,,no
597,my.bixie,597 on Toyhouse,Elementary,,1,0/5,10/10,,no 
598,_.phoenixartz._,598 on Toyhouse,Elementary,,5,1/10,10/10,,no
599,phantomhive_arts,599 on Toyhouse,Elementary,,1,0/5,10/10,,no
600,uncannymutt_,600 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
601,Phantomhive_arts,601 on Toyhouse,Elementary,,6,0/12,10/10,Greater Pickaxe x5,no
602,diino.miilk,602 on Toyhouse,Elementary,,1,0/5,10/10,,no
603,diino.miilk,603 on Toyhouse,Elementary,,1,0/5,10/10,,no 
604,raeya_draws,604 on Toyhouse,Elementary,,1,0/5,10/10,,no
605,neighborlynarwhal,605 on Toyhouse,Elementary,,14,9/30,5/10,"Armor I x5
Anvil x10",no
606,therisingriver,606 on Toyhouse,Elementary,,1,0/5,10/10,,no
607,korkikorel,607 on Toyhouse,Elementary,,1,0/5,10/10,,no
608,sleekslop,608 on Toyhouse,Elementary,,1,0/5,10/10,,no 
609,_crims0n.mamaart_,609 on Toyhouse,Elementary,,1,0/5,10/10,,no
610,cutetootsie06,610 on Toyhouse,Elementary,,1,0/5,10/10,,no
611,neighborlynarwhal,611 on Toyhouse,Elementary,,1,0/5,10/10,,no
612,n/a,612 on Toyhouse,Elementary,,1,0/5,10/10,,no
613,mintiq,613 on Toyhouse,Elementary,,1,0/5,10/10,,no
614,Crash_pilot,614 on Toyhouse,Elementary,,1,2/5,10/10,,no
615,5ernafina_,615 on Toyhouse,Elementary,,1,0/5,10/10,,yes
616,bogbeetle,616 on Toyhouse,Elementary,,4,4/8,10/10,,no
617,Kuroki_09,617 on Toyhouse,Elementary,,1,0/5,10/10,,no
618,n/a,618 on Toyhouse,Elementary,,1,0/5,10/10,,no
619,smolchid,619 on Toyhouse,Elementary,,5,4/12,10/10,,no
620,barkishark,620 on Toyhouse,Elementary,,1,0/5,10/10,,no
621,h0neyypiie,621 on Toyhouse,Elementary,,1,0/5,10/10,,no
622,Apohye,622 on Toyhouse,Abyssius,N/A,9,11/22,10/10,,no
623,Smolowls,623 on Toyhouse,Elementary,,4,4/8,1/10,,no
624,nyxoom_draws,624 on Toyhouse,Elementary,,5,0/10,10/10,,No
625,dracowolf_x,625 on Toyhouse,Elementary,,1,0/5,10/10,,yes
626,kaiibuuu,626 on Toyhouse,Elementary,,1,0/5,10/10,,No
627,clockwork_oasis,627 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
628,_0_strawberrymilk_0_,628 on Toyhouse,Elementary,,1,4/5,10/10,,no
629,deathsresistor,629 on Toyhouse,Elementary,,1,0/5,10/10,,no
630,mixies_sketchbook,630 on Toyhouse,Elementary,,1,0/5,10/10,,no
631,Chaotic_Clueless,631 on Toyhouse,Elementary,,1,2/5,10/10,,no
632,Smile._.dogg,632 on Toyhouse,Elementary,,1,0/5,10/10,,No
633,Smile._.dogg,633 on Toyhouse,Elementary,,1,0/5,10/10,,No
634,n/a,634 on Toyhouse,Elementary,,1,0/5,10/10,,No
635,bro___boi,635 on Toyhouse,Elementary,,4,6/8,10/10,,No
636,n/a,636 on Toyhouse,Elementary,,1,0/5,10/10,,No
637,n/a ,637 on Toyhouse,Elementary,,1,0/5,10/10,,No
638,Sleepycross ,638 on Toyhouse,Elementary,,1,0/5,10/10,,No
639,_0_strawberrymilk_0_,639 on Toyhouse,Elementary,,1,3/5,10/10,,No
640,n/a ,640 on Toyhouse,Elementary,,1,0/5,10/10,,No
641, digitalskullfox,641 on Toyhouse,Elementary,,1,0/5,10/10,,No
642,n/a ,642 on Toyhouse,Elementary,,1,0/5,10/10,,No
643,_.PhoenixArtz._,643 on Toyhouse,Abyssius,,7,0/15,6/10,,no
644,Vinny._.Kitty,644 on Toyhouse,Elementary,,1,0/5,10/10,,Yes
645,downthedarkavenue,645 on Toyhouse,Elementary,,1,2/5,10/10,,No
646,corgighost,646 on Toyhouse,Elementary,,1,0/5,10/10,,yes
647,corgighost,647 on Toyhouse,Abyssius ,N/A,1,0/5,10/10,,yes
648,hollowedvoid,648 on Toyhouse,Elementary,,10,18/26,7/10,Campfire x9,no
649,haukkuauks,649 on Toyhouse,Elementary,,1,0/5,10/10,,no
650,korkikorel ,650 on Toyhouse,Elementary,,1,0/5,10/10,,no
651,DigitalSkullFox,651 on Toyhouse,Elementary,,1,0/5,10/10,,yes
652,_0_strawberrymilk_0_,652 on Toyhouse,Elementary,,1,0/5,10/10,,no
653,sn0w.paws,653 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
654,sn0w.paws,654 on Toyhouse,Any Exclusive,N/A,1,0/5,10/10,,yes
655,sn0w.paws,655 on Toyhouse,Elementary,,1,0/5,10/10,,yes
656,dead_.luna,656 on Toyhouse,Elementary,,1,0/5,10/10,,no
657,dead_.luna,657 on Toyhouse,Elementary,,1,0/5,10/10,,no
658,stwabby_roomz,658 on Toyhouse,Elementary,,1,0/5,10/10,,no
659,_.PhoenixArtz._,659 on Toyhouse,Elementary,,1,0/5,10/10,,no
660,bro___boi,660 on Toyhouse,Kiab-light,Fire,11,19/30,10/10,,no
661,bergierpants,661 on Toyhouse,Elementary,,1,0/5,10/10,,no
662,stwabby_roomz,662 on Toyhouse,Elementary,,1,0/5,10/10,,no
663,n/a,663 on Toyhouse,Elementary,,3,0/6,10/10,,no
664,_.PhoenixArtz._,664 on Toyhouse,Elementary,,1,0/5,10/10,,no
665,diino.miilk,665 on Toyhouse,Elementary,,1,0/5,10/10,,no
666,diino.miilk,666 on Toyhouse,Abyssius,N/A,6,2 - 9/12,10/10,,no
667,sleepy._armadillo,667 on Toyhouse,Elementary,,1,0/5,10/10,,no
668,holly.lovesducks,668 on Toyhouse,Elementary,,12,1/30,1/10,,no
669,n/a ,669 on Toyhouse,Elementary,,1,0/5,10/10,,no
670,bergierpants,670 on Toyhouse,Elementary,,1,0/5,10/10,,no
671,Puppett_On_A_String_2.0,671 on Toyhouse,Elementary,,1,0/5,10/10,,no
672,Jeni_Cha,672 on Toyhouse,Elementary,,1,0/5,10/10,,no
673,Its.rakii,673 on Toyhouse,Elementary,,1,0/5,10/10,,yes
674,Its.rakii,674 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,yes
675,ghostlytwickster,675 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
676,neighborlynarwhal,676 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
677,neighborlynarwhal,677 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
