,Owner,TH link,Gene,Past Forms,Level,XP,Damage (health/10),Tool x Use,Myo? (yes/no)
2501,floof._.adopts,https://toyhou.se/22060411.2501,Elementary ,,1,0/5,10/10,,No
2502,N/A,https://toyhou.se/22060419.2502,Elementary ,,1,0/5,10/10,,No
2503,neighborlynarwhal,https://toyhou.se/22060430.2503,Elementary ,,1,0/5,10/10,,No
2504,N/A,https://toyhou.se/22060442.2504,Elementary ,,1,0/5,10/10,,No
2505,N/A,https://toyhou.se/22060454.2505,Elementary ,,1,0/5,10/10,,No
2506,N/A,https://toyhou.se/22060462.2506,Elementary ,,1,0/5,10/10,,No
2507,N/A,https://toyhou.se/22060467.2507,Elementary ,,1,0/5,10/10,,No
2508,N/A,https://toyhou.se/22060469.2508,Elementary ,,1,0/5,10/10,,No
2509,N/A,https://toyhou.se/22060473.2509,Elementary ,,1,0/5,10/10,,No
2510,N/A,https://toyhou.se/22060479.2510,Elementary ,,1,0/5,10/10,,No
2511,N/A,https://toyhou.se/22060485.2511,Elementary ,,1,0/5,10/10,,No
2512,neighborlynarwhale,https://toyhou.se/22060489.2512,Elementary ,,1,0/5,10/10,,No
2513,N/A,https://toyhou.se/22060495.2513,Elementary ,,1,0/5,10/10,,No
2514,_infamous_comedown_ok,https://toyhou.se/22060499.2514,Elementary ,,1,0/5,10/10,,No
2515,N/A,https://toyhou.se/22060501.2515,Elementary ,,1,0/5,10/10,,No
2516,crash_pilot,https://toyhou.se/22061275.2516-myo,Feyndeer,N/A,1,0/5,10/10,,yes
2517,crash_pilot,https://toyhou.se/22064165.2517,Elementary ,,1,0/5,10/10,,no
2518,n/a,https://toyhou.se/22064171.2518,Elementary ,,1,0/5,10/10,,no
2519,Quollian,https://toyhou.se/22064180.2519,Elementary ,,1,0/5,10/10,,no
2520,_fluffywuffyfluffo,https://toyhou.se/22064185.2520,Elementary ,,1,0/5,10/10,,no
2521,crash_pilot,https://toyhou.se/22064198.2521,Elementary ,,1,0/5,10/10,,no
2522,crash_pilot,https://toyhou.se/22064212.2522,Elementary ,,1,0/5,10/10,,no
2523,crash_pilot,https://toyhou.se/22064225.2523,Elementary ,,1,0/5,10/10,,no
2524,_fluffywuffyfluffo,https://toyhou.se/22064233.2524,Elementary ,,1,0/5,10/10,,no
2525,honey_arcus,https://toyhou.se/22064238.2525,Elementary ,,1,0/5,10/10,,no
2526,n/a,https://toyhou.se/22074170.2526,Elementary ,,1,0/5,10/10,,no
2527,_nan_mais_mdr_,2527 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2528,nini.cosmoart,https://toyhou.se/22074304.2528,Elementary ,,1,0/5,10/10,,no
2529,zak_5670,https://toyhou.se/22074340.2529,Elementary ,,1,0/5,10/10,,no
2530,ssaltlicc,https://toyhou.se/22074354.2530,Elementary ,,1,0/5,10/10,,no
2531,n/a,https://toyhou.se/22074381.2531,Elementary ,,1,0/5,10/10,,no
2532,nini.cosmosart,2532 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2533,alt_ketan15,https://toyhou.se/22074665.2533-myo,Feyndeer,,1,0/5,10/10,,yes
2534,tama.novie,2534 (MYO) on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2535,Hazeoki,2535 (MYO) on Toyhouse,Feyndeer,,1,0/5,10/10,,yes
2536,dracowolf_x,https://toyhou.se/22104255.2536,Elementary ,,1,0/5,10/10,,
2537,Sour.Rot,https://toyhou.se/22104281.2537,Elementary ,,1,0/5,10/10,,
2538,N/A,https://toyhou.se/22104299.2535,Elementary ,,1,2/5,10/10,Anvil x9,
2539,N/A,2539 on Toyhouse,Elementary ,,1,0/5,10/10,,
2540,epiiepsi,https://toyhou.se/22106238.2540,Elementary ,,5,2/10,5/10,,no
2541,fatterhorner,https://toyhou.se/22106289.2541,Elementary ,,1,0/5,10/10,,no
2542,starrymaplebar.cs,https://toyhou.se/22106317.2542,Elementary ,,1,0/5,10/10,,no
2543,_crims0n.mamaart_,https://toyhou.se/22106350.2543,Water - Water,Elementary ,6,1/12,8/10,,no
2544,n/a,https://toyhou.se/22106378.2544,Elementary ,,1,0/5,10/10,,no
2545,diino.miilk,https://toyhou.se/22109893.2454,Elementary ,,6,6/12,5/10,Lesser pickaxe x2,No
2546,lazuu.uwu_art,https://toyhou.se/22111881.2546,Elementary ,,1,0/5,10/10,,no
2547,lazuu.uwu_art,https://toyhou.se/22111887.2547,Elementary ,,1,0/5,10/10,,no
2548,lazuu.uwu_art,https://toyhou.se/22111896.2548,Elementary ,,5,1/10,10/10,,no
2549,Smile._.dogg,https://toyhou.se/22112858.2549,Elementary ,,1,0/5,10/10,,no
2550,matcha_gummy,https://toyhou.se/22112872.2550,Elementary ,,1,0/5,10/10,,no
2551,N/A,https://toyhou.se/22112880.2551,Elementary ,,1,0/5,10/10,,no
2552,_crims0n.mamaart_,https://toyhou.se/22120893.2552,Fire-Light ,,6,2/12,7/10,,
2553,buggie.is.real,https://toyhou.se/22120906.2553,Elementary ,,1,0/5,10/10,Pot x10,
2554,na,https://toyhou.se/22120917.2554,Elementary ,,1,0/5,10/10,,
2555,chilimelon,https://toyhou.se/22120924.2555,Elementary ,,1,0/5,10/10,,
2556,zak5670,https://toyhou.se/22120936.2556,Elementary ,,5,4/10,7/10,,
2557,na,https://toyhou.se/22121016.2557,Elementary ,,1,0/5,10/10,,
2558,zak_5670,https://toyhou.se/22121032.2558,Elementary ,,1,0/5,10/10,,
2559,na,https://toyhou.se/22121044.2559,Elementary ,,1,0/5,10/10,,
2560,na,https://toyhou.se/22121067.2560,Elementary ,,1,0/5,10/10,,
2561,honey_arcus,https://toyhou.se/22121079.2561,Elementary ,,1,0/5,10/10,,
2562,kindhearted _mouse,https://toyhou.se/22121088.2562,Elementary ,,1,0/5,10/10,,
2563,mixies_sketchbook,2563 (MYO) on Toyhouse,Ancient Air ,,1,0/5,10/10,,yes
2564,mixies_sketchbook,2564 (MYO) on Toyhouse,Ancient Water ,,1,0/5,10/10,,yes
2565,mixies_sketchbook,2565 (MYO) on Toyhouse,Ancient Earth ,,1,0/5,10/10,,yes
2566,N/A,2566 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2567,infamous_comedown_ok,2567 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2568,_d3f4ult_art,2568 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2569,N/A,2569 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2570,N/A,2570 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2571,_infamous_comedown_ok,https://toyhou.se/22135663.2571,Elementary ,,1,0/5,10/10,,no
2572,mishaeatsbunnys,https://toyhou.se/22155016.2572,Elementary ,,1,0/5,10/10,,
2573,d3f4ult,https://toyhou.se/22155026.2573,Elementary ,,1,0/5,10/10,,
2574,honey._milktea,https://toyhou.se/22155040.2574,Elementary ,,1,0/5,10/10,,
2575,sketchy.pigeon,https://toyhou.se/22155063.2575,Elementary ,,1,0/5,10/10,,
2576,honey_.milktea,https://toyhou.se/22155069.2576,Elementary ,,2,0/5,10/10,,
2577,neighborlynarwhale,https://toyhou.se/22155079.2577,Elementary,,1,0/5,10/10,,no
2578,guts4goats,https://toyhou.se/22158216.2578-myo,Abyssius,,6,8/12,6/10,Fishing Pole x11,no
2579,ssaltlicc,https://toyhou.se/22158214.2579-myo,Abyssius ,,1,0/5,10/10,,Yes
2580,honey_.milktea,https://toyhou.se/22174634.2580-myo,Cupid,N/A,1,0/5,10/10,,no
2581,zak5670,https://toyhou.se/22174644.2581-myo,Fire-Chaos,N/A,1,0/5,10/10,,Yes
2582,pyr022_,https://toyhou.se/22180882.2582,Elementary ,,1,0/5,10/10,,yes
2583,nyxoom_draws,https://toyhou.se/22195615.2583,Elementary ,,1,0/5,10/10,,no
2584,nyxoom_draws,https://toyhou.se/22195740.2584,Elementary/Fire ,,1,0/5,10/10,,yes
2585,nyxoom_draws,https://toyhou.se/22195765.2585,Fire,,1,0/5,10/10,,No
2586,Tama.Novie,https://toyhou.se/22209769.2586-myo,Earth,N/A,1,0/5,10/10,,yes
2587,lazuu.uwu_art,https://toyhou.se/22209787.2587-myo,Abyssius-Plant,N/A,6,10/12,10/10,,no
2588,zak5670,https://toyhou.se/22215073.2588,Fire-Cosmic,N/A,1,0/5,10/10,,yes
2589,eepiiin,https://toyhou.se/22216207.2589,Elementary ,,1,0/5,10/10,,no
2590,_pumkin_patxh_,https://toyhou.se/22216144.2590,Elementary ,N/A,1,0/5,10/10,,yes
2591,tama.novie,https://toyhou.se/22216380.2591,Elementary ,,4,1/8,10/10,,no
2592,munchberrybear ,https://toyhou.se/22216416.2592,Elementary ,,1,0/5,10/10,,no
2593,honey_arcus,https://toyhou.se/~characters/edit/22218144,Elementary ,,1,0/5,10/10,,yes
2594,BellandtheBeasts,https://toyhou.se/22218214.2594,Elementary ,,1,0/5,10/10,,no
2595,jay_the_shark_pup,https://toyhou.se/22218218.2595,Elementary ,,1,0/5,10/10,,no
2596,jay_the_shark_pup,https://toyhou.se/22218224.2596,Elementary ,,1,0/5,10/10,,no
2597,jay_the_shark_pup,https://toyhou.se/22218234.2597,Elementary ,,1,0/5,10/10,,no
2598,_infamous_comedown_ok,https://toyhou.se/22219734.2598,Elementary ,,1,0/5,10/10,,no
2599,lazuu.uwu_art,https://toyhou.se/22220693.2599-myo,Earth,,1,0/5,10/10,,yes
2600,lazuu.uwu_art,https://toyhou.se/22220713.2600-myo,Earth,,1,0/5,10/10,,yes
2601,lazuu.uwu_art,https://toyhou.se/22220909.2601-myo,Earth,,1,0/5,10/10,,yes
2602,Constellixx,2602 (MYO) on Toyhouse,Elementary ,,1,0/5,10/10,,yes
